Gene,Chr,Start,End
DDX11L1,1,11874,14409
WASH7P,1,14362,29370
MIR6859-1,1,17369,17436
MIR1302-2HG,1,29774,35418
MIR1302-2,1,30366,30503
FAM138A,1,34611,36081
OR4G4P,1,52453,53396
OR4G11P,1,63016,63885
OR4F5,1,65419,71585
LOC124903816,1,95222,107727
LOC124900384,1,120849,175246
SEPTIN14P18,1,126642,129225
CICP27,1,131068,134836
LOC729737,1,134773,140566
RNU6-1100P,1,157784,157887
GTF2IP10,1,164689,164792
LOC124903814,1,177308,180105
DDX11L17,1,182388,184878
LOC100996442,1,184916,200117
RPL23AP21,1,258511,259036
LOC124903815,1,273223,284291
RPL23AP24,1,347969,348441
LOC124900618,1,350706,358545
LOC112268260,1,365134,382235
WBP1LP7,1,439764,440270
OR4F29,1,450740,451678
SEPTIN14P13,1,484833,485210
CICP7,1,487055,490819
LOC100132287,1,490756,495445
LOC124904706,1,516376,516479
LOC105378947,1,586287,611297
LOC101928626,1,627380,629009
MTND1P23,1,629062,629440
MTND2P28,1,629640,630686
MTCO1P12,1,631074,632616
MIR12136,1,632615,632685
MTCO2P12,1,632757,633438
MTATP8P1,1,633535,633741
MTATP6P1,1,633696,634376
MTCO3P12,1,634376,634922
WBP1LP6,1,674743,675246
OR4F16,1,676076,720101
SEPTIN14P14,1,717621,720202
CICP3,1,722046,725822
LOC100288069,1,725759,778634
RNU6-1199P,1,758233,758336
LINC01409,1,778758,787675
LOC124903817,1,791598,799081
FAM87B,1,817371,819834
LINC00115,1,826206,827522
LINC01128,1,827591,859446
LOC107984850,1,860182,868202
FAM41C,1,868071,876802
TUBB8P11,1,873291,874514
LOC284600,1,904811,921019
LINC02593,1,916818,919692
LOC107985728,1,920243,925604
SAMD11,1,923923,944574
NOC2L,1,944203,959256
KLHL17,1,960584,965719
PLEKHN1,1,966482,975865
PERM1,1,975198,982093
HES4,1,998964,1000097
RPL39P12,1,1008060,1008290
ISG15,1,1013497,1014540
AGRN,1,1020120,1056116
LOC100288175,1,1059734,1066453
LOC105378948,1,1065635,1069337
RNF223,1,1070967,1074306
C1orf159,1,1081823,1116089
LOC124903819,1,1122903,1128984
LOC124903820,1,1128684,1161940
LINC01342,1,1137017,1144056
LOC124903818,1,1162877,1170338
MIR200B,1,1167104,1167198
MIR200A,1,1167863,1167952
MIR429,1,1169005,1169087
TTLL10-AS1,1,1173056,1179555
TTLL10,1,1173880,1197936
TNFRSF18,1,1203508,1206592
TNFRSF4,1,1211340,1214153
SDF4,1,1216931,1232001
B3GALT6,1,1232237,1235041
C1QTNF12,1,1242453,1247280
UBE2J2,1,1253912,1273854
SCNN1D,1,1280436,1292025
ACAP3,1,1292391,1307930
MIR6726,1,1296110,1296170
SNORD167,1,1304729,1304812
PUSL1,1,1308597,1311677
INTS11,1,1311600,1324660
MIR6727,1,1312502,1312566
CPTP,1,1324802,1328896
TAS1R3,1,1331280,1335314
DVL1,1,1335278,1349418
MIR6808,1,1339650,1339708
MXRA8,1,1352689,1363541
AURKAIP1,1,1373736,1375207
NDUFB4P8,1,1378640,1379084
CCNL2,1,1385711,1399335
MRPL20-AS1,1,1399530,1402046
MRPL20,1,1401909,1407293
RN7SL657P,1,1405460,1405752
MRPL20-DT,1,1408348,1410684
ANKRD65,1,1418420,1421276
ANKRD65-AS1,1,1420166,1423287
TMEM88B,1,1425871,1430255
LINC01770,1,1430157,1434573
LOC107985729,1,1433233,1435549
VWA1,1,1435690,1442882
ATAD3C,1,1449689,1470163
ATAD3B,1,1471765,1509466
ATAD3A,1,1512162,1534685
TMEM240,1,1534778,1540624
SSU72,1,1541673,1574863
FNDC10,1,1598012,1600135
LOC105378586,1,1599433,1607210
MIB2,1,1613731,1630605
LOC124903821,1,1624757,1631786
MMP23B,1,1632173,1634654
CDK11B,1,1635225,1659004
SLC35E2B,1,1661478,1692795
LOC100288379,1,1673283,1674435
MMP23A,1,1699939,1701808
CDK11A,1,1702379,1724357
SLC35E2A,1,1727385,1746070
LOC100129381,1,1735819,1737291
LOC112268218,1,1745819,1751742
NADK,1,1751232,1780514
GNB1,1,1785286,1891087
GNB1-DT,1,1891180,1892726
LOC124903822,1,1906002,1909126
CALML6,1,1915260,1917296
TMEM52,1,1917591,1919279
CFAP74,1,1921957,2003786
LOC107984872,1,1957368,1959030
LOC105378589,1,2013198,2018088
GABRD,1,2019345,2030758
LOC105378590,1,2035766,2047447
PRKCZ,1,2048504,2185395
PRKCZ-DT,1,2049201,2050070
PRKCZ-AS1,1,2181794,2183875
FAAP20,1,2184477,2212720
LOC112268219,1,2189798,2192458
LOC105378593,1,2207013,2209335
LOC124903823,1,2212391,2220749
SKI,1,2228319,2310213
LOC124903824,1,2314995,2319268
MORN1,1,2321253,2391554
LOC100129534,1,2350414,2352661
RER1,1,2391841,2405436
PEX10,1,2403974,2413827
PLCH2,1,2415943,2505532
PANK4,1,2508537,2526596
HES5,1,2528745,2530263
TNFRSF14-AS1,1,2549920,2557011
TNFRSF14,1,2554234,2563829
LOC100996583,1,2566535,2584534
PRXL2B,1,2586523,2591468
MMEL1,1,2590639,2633016
MMEL1-AS1,1,2628563,2636620
TTC34,1,2636986,2801693
LOC105378602,1,2701377,2702276
LOC105378601,1,2762488,2763387
LOC112268220,1,2763419,2767518
LOC107985732,1,2764564,2765629
LOC105378600,1,2766073,2766972
LOC105378598,1,2767828,2784745
LOC107984904,1,2771826,2772891
LOC105378599,1,2773495,2774394
LOC124903825,1,2814058,2817767
LOC124903826,1,2814385,2816806
ACTRT2,1,3021467,3022903
LOC124903827,1,3055423,3075562
PRDM16-DT,1,3059617,3067725
PRDM16,1,3069203,3438621
LOC100420339,1,3069658,3070697
MIR4251,1,3127975,3128035
LOC105378606,1,3161281,3166895
LOC107984909,1,3187558,3195526
LOC105378605,1,3210736,3213745
LOC124903828,1,3266945,3297275
LOC105378604,1,3312745,3323497
ARHGEF16,1,3454665,3481113
MEGF6,1,3487951,3624786
LOC105378608,1,3548480,3550572
MIR551A,1,3560695,3560790
TPRG1L,1,3625015,3630127
WRAP73,1,3630770,3650103
TP73,1,3652516,3736201
TP73-AS3,1,3654784,3665396
TP73-AS1,1,3735984,3747373
CCDC27,1,3752450,3771645
SMIM1,1,3772749,3775956
LRRC47,1,3778559,3796498
RN7SL574P,1,3782815,3783111
CEP104,1,3812086,3857211
